point_id,patch_label,patch_source,center_sigma,center_rho,center_beta,center_nucleus,sigma,rho,beta
P0196,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.65,105.5,2.4179000000000004
P0197,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.65,105.5,2.4464500000000005
P0198,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.65,105.5,2.475
P0199,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.65,105.5,2.5035499999999997
P0200,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.65,105.5,2.5321
P0201,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.5,2.4179000000000004
P0202,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.5,2.4464500000000005
P0203,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.5,2.475
P0204,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.5,2.5035499999999997
P0205,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.5,2.5321
P0206,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.75,2.4179000000000004
P0207,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.75,2.4464500000000005
P0208,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.75,2.475
P0209,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.75,2.5035499999999997
P0210,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,104.75,2.5321
P0211,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.0,2.4179000000000004
P0212,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.0,2.4464500000000005
P0213,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.0,2.475
P0214,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.0,2.5035499999999997
P0215,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.0,2.5321
P0216,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.25,2.4179000000000004
P0217,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.25,2.4464500000000005
P0218,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.25,2.475
P0219,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.25,2.5035499999999997
P0220,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.25,2.5321
P0221,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.5,2.4179000000000004
P0222,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.5,2.4464500000000005
P0223,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.5,2.475
P0224,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.5,2.5035499999999997
P0225,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.69835,105.5,2.5321
P0226,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.5,2.4179000000000004
